id,name,category,desc,ticket,duration,lat,lng,rating,tags,stay_detail,gmaps_url,source
pasir-cibodas,Pasir Cibodas,Alam,,,,-6.789444,107.468333,,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Cibodas%2C%20Bandung,osm
pasir-pari,Pasir Pari,Alam,,,,-6.989167,107.354722,,"['mt', 'peak', 'modify_date:_2007-05-17']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Pari%2C%20Bandung,osm
pasir-gugunungan,Pasir Gugunungan,Alam,,,,-6.862222,107.470278,,"['mt', 'peak', 'modify_date:_2002-09-24']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Gugunungan%2C%20Bandung,osm
gunung-kancing,Gunung Kancing,Alam,,,,-7.1175,107.822,,"['mt', 'peak', 'modify_date:_2008-05-09']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Kancing%2C%20Bandung,osm
pasir-bojongawi,Pasir Bojongawi,Alam,,,,-6.795556,107.484444,,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Bojongawi%2C%20Bandung,osm
gunung-cibeureum,Gunung Cibeureum,Alam,,,,-7.179722,107.742222,,"['mt', 'peak', 'modify_date:_2002-11-15']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Cibeureum%2C%20Bandung,osm
gunung-lagadar,Gunung Lagadar,Alam,,,,-6.923333,107.531667,,"['mt', 'peak', 'modify_date:_2007-05-22']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Lagadar%2C%20Bandung,osm
pasir-batukeupeul,Pasir Batukeupeul,Alam,,,,-6.963611,107.493889,,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Batukeupeul%2C%20Bandung,osm
gunung-kaseproke,Gunung Kaseproke,Alam,,,,-7.0072,107.475,,"['1185', 'mt', 'peak', 'modify_date:_2008-09-25']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Kaseproke%2C%20Bandung,osm
pasir-kamuning,Pasir Kamuning,Alam,,,,-6.815278,107.465556,,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Kamuning%2C%20Bandung,osm
pasir-cimahi,Pasir Cimahi,Alam,,,,-6.989444,107.509722,,"['mt', 'peak', 'modify_date:_2007-05-22']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Cimahi%2C%20Bandung,osm
pasir-pamipiran,Pasir Pamipiran,Alam,,,,-7.0415,107.4491,,"['mt', 'peak', 'modify_date:_2008-09-25']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Pamipiran%2C%20Bandung,osm
gunung-beling,Gunung Beling,Alam,,,,-7.1536,107.7765,,"['mt', 'peak', 'modify_date:_2008-05-29']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Beling%2C%20Bandung,osm
gunung-kiarapayung,Gunung Kiarapayung,Alam,,,,-6.765,107.495833,,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Kiarapayung%2C%20Bandung,osm
gunung-sumbul,Gunung Sumbul,Alam,,,,-7.2069,107.4591,,"['1807', 'mt', 'peak', 'modify_date:_2008-04-15']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Sumbul%2C%20Bandung,osm
pasir-sumanget,Pasir Sumanget,Alam,,,,-6.958889,107.488333,,"['mt', 'peak', 'modify_date:_2002-09-24']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Sumanget%2C%20Bandung,osm
pasir-batununggal,Pasir Batununggal,Alam,,,,-6.844722,107.415,,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Batununggal%2C%20Bandung,osm
gunung-jahe,Gunung Jahe,Alam,,,,-7.1421,107.7748,,"['mt', 'peak', 'modify_date:_2008-05-29']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Jahe%2C%20Bandung,osm
gunung-celak,Gunung Celak,Alam,,,,-7.0168,107.3572,,"['1274', 'mt', 'peak', 'modify_date:_2008-09-25']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Celak%2C%20Bandung,osm
gunung-tanjung,Gunung Tanjung,Alam,,,,-6.850556,107.451389,,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Tanjung%2C%20Bandung,osm
gunung-langit,Gunung Langit,Alam,,,,-6.807778,107.864444,,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Langit%2C%20Bandung,osm
gunung-kanti,Gunung Kanti,Alam,,,,-7.2145,107.3579,,"['mt', 'peak', 'modify_date:_2008-04-15']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Kanti%2C%20Bandung,osm
gunung-tikukur,Gunung Tikukur,Alam,,,,-7.1,107.833333,,"['mt', 'peak', 'modify_date:_1994-01-29']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Tikukur%2C%20Bandung,osm
pasir-citatah,Pasir Citatah,Alam,,,,-6.8852316,107.8336237,,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Citatah%2C%20Bandung,osm
pasir-raja,Pasir Raja,Alam,,,,-6.814219,107.8070089,,"['1667', 'mt', 'peak', 'modify_date:_2008-12-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Raja%2C%20Bandung,osm
gunung-puncakcae,Gunung Puncakcae,Alam,,,,-7.198333,107.721111,,"['mt', 'peak', 'modify_date:_2004-09-09']",,https://www.google.com/maps/search/?api=1&query=Gunung%20Puncakcae%2C%20Bandung,osm
pasir-gembol,Pasir Gembol,Alam,,,,-6.839444,107.483056,,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Gembol%2C%20Bandung,osm
pasir-aseupan,Pasir Aseupan,Alam,,,,-6.820833,107.465833,,"['mt', 'peak', 'modify_date:_2007-05-01']",,https://www.google.com/maps/search/?api=1&query=Pasir%20Aseupan%2C%20Bandung,osm
